__spiritual_bouquet_1	_type_of	__sympathy_card_1	1
__nolo_contendere_1	_type_of	__sympathy_card_1	0
__spiritual_bouquet_1	_type_of	__tonal_language_1	0
__spiritual_bouquet_1	_synset_domain_topic	__church_of_rome_1	1
__supper_1	_synset_domain_topic	__church_of_rome_1	0
__spiritual_bouquet_1	_synset_domain_topic	__genus_raffia_1	0
__absorption_5	_type_of	__attention_4	1
__sea_eagle_2	_type_of	__attention_4	0
__absorption_5	_type_of	__admiration_1	0
__absorption_5	_has_instance	__centering_1	1
__unit_1	_has_instance	__centering_1	0
__absorption_5	_has_instance	__sick_berth_1	0
__avenge_1	_type_of	__penalise_1	1
__b_t_u_1	_type_of	__penalise_1	0
__avenge_1	_type_of	__bookman_1	0
__avenge_1	_has_instance	__get_back_3	1
__dialog_box_1	_has_instance	__get_back_3	0
__avenge_1	_has_instance	__family_mobulidae_1	0
__chamaecyparis_lawsoniana_1	_member_holonym	__chamaecyparis_1	1
__cam_1	_member_holonym	__chamaecyparis_1	0
__chamaecyparis_lawsoniana_1	_member_holonym	__rearguard_1	0
__cutter_3	_type_of	__boat_1	1
__saracen_3	_type_of	__boat_1	0
__cutter_3	_type_of	__basilicata_1	0
__solar_array_1	_part_of	__artificial_satellite_1	1
__alphanumeric_display_1	_part_of	__artificial_satellite_1	0
__solar_array_1	_part_of	__corn_oil_1	0
__solar_array_1	_has_part	__photovoltaic_cell_1	1
__earthquake_1	_has_part	__photovoltaic_cell_1	0
__solar_array_1	_has_part	__reseda_1	0
__sway_2	_type_of	__move_back_and_forth_1	1
__genus_tantilla_1	_type_of	__move_back_and_forth_1	0
__sway_2	_type_of	__evil_4	0
__sway_2	_has_instance	__oscillate_2	1
__cancellation_1	_has_instance	__oscillate_2	0
__sway_2	_has_instance	__buck_2	0
__issuance_1	_type_of	__provision_3	1
__declaration_1	_type_of	__provision_3	0
__issuance_1	_type_of	__loganberry_1	0
__hygrophorus_inocybiformis_1	_type_of	__waxycap_1	1
__parietaria_difussa_1	_type_of	__waxycap_1	0
__hygrophorus_inocybiformis_1	_type_of	__ditch_1	0
__hygrophorus_inocybiformis_1	_member_holonym	__genus_hygrophorus_1	1
__joyride_1	_member_holonym	__genus_hygrophorus_1	0
__hygrophorus_inocybiformis_1	_member_holonym	__retinal_purple_1	0
__literary_critic_1	_type_of	__critic_1	1
__cephalosporin_1	_type_of	__critic_1	0
__literary_critic_1	_type_of	__spice_5	0
__literary_critic_1	_has_instance	__ciardi_1	1
__reek_1	_has_instance	__ciardi_1	0
__literary_critic_1	_has_instance	__intermaxillary_suture_1	0
__literary_critic_1	_has_instance	__h__l__mencken_1	1
__glorification_2	_has_instance	__h__l__mencken_1	0
__literary_critic_1	_has_instance	__stodginess_1	0
__literary_critic_1	_has_instance	__i__a__richards_1	1
__mental_state_1	_has_instance	__i__a__richards_1	0
__literary_critic_1	_has_instance	__coaster_brake_1	0
__literary_critic_1	_has_instance	__sir_stephen_harold_spender_1	1
__egeria_1	_has_instance	__sir_stephen_harold_spender_1	0
__literary_critic_1	_has_instance	__drosophila_1	0
__literary_critic_1	_has_instance	__carl_clinton_van_doren_1	1
__genus_glis_1	_has_instance	__carl_clinton_van_doren_1	0
__literary_critic_1	_has_instance	__foil_1	0
